video,rally_id,old_start,old_end,new_start,new_end
0104排島臨打 1,1,151.267,159.9,151.8,159.4
0104排島臨打 1,2,168.267,182.967,168.767,182.433
0104排島臨打 1,3,190.367,204.133,190.867,203.633
0104排島臨打 1,4,212.333,216.633,212.833,216.133
0104排島臨打 1,5,221.733,226.867,222.2,226.367
0104排島臨打 1,6,233.067,257.467,233.567,256.967
0104排島臨打 1,7,268.867,272.967,269.367,272.433
0104排島臨打 1,8,281.4,301.433,281.9,300.933
0104排島臨打 1,9,309.833,329.667,310.3,329.167
0104排島臨打 1,10,340.333,348.3,340.833,347.767
0104排島臨打 1,11,355.833,361.833,356.333,361.333
0104排島臨打 1,12,367.667,372.833,368.167,372.333
0104排島臨打 1,13,378.733,395.3,379.233,394.767
0104排島臨打 1,14,399.867,416.267,400.367,415.733
0104排島臨打 1,15,427.1,438.733,427.6,438.233
0104排島臨打 1,16,445.8,450.4,446.3,449.9
0104排島臨打 1,17,459.067,463.333,459.533,462.833
0104排島臨打 1,18,468.467,480.4,468.967,479.9
0104排島臨打 1,19,485.933,507.833,486.433,507.3
0104排島臨打 1,20,518.0,526.533,518.5,526.033
0104排島臨打 1,21,530.2,540.9,530.7,540.4
0104排島臨打 1,22,549.1,553.667,549.6,553.133
0104排島臨打 1,23,564.067,576.433,564.567,575.9
0104排島臨打 1,24,581.3,585.1,581.8,584.6
0104排島臨打 1,25,592.633,596.933,593.133,596.4
0104排島臨打 1,26,604.833,614.3,605.333,613.8
0104排島臨打 1,27,621.0,628.967,621.5,628.467
0104排島臨打 1,28,639.7,643.9,640.2,643.367
0104排島臨打 1,29,650.9,675.467,651.367,674.967
0104排島臨打 1,30,684.0,717.2,684.5,716.667
0104排島臨打 1,31,723.633,733.133,724.133,732.6
0104排島臨打 1,32,741.067,772.4,741.567,771.867
0104排島臨打 1,33,780.0,796.2,780.467,795.667
0104排島臨打 1,34,805.933,825.9,806.4,825.367
0104排島臨打 1,35,831.667,843.4,832.133,843.4
0104排島臨打 1,36,855.033,870.367,855.5,869.833
0104排島臨打 1,37,874.367,878.867,874.833,878.867
0104排島臨打 1,38,885.9,908.733,886.367,908.2
0104排島臨打 1,39,915.567,920.3,916.033,920.3
0104排島臨打 1,40,927.9,943.067,928.367,942.533
0104排島臨打 2,1,47.6,52.067,48.1,51.567
0104排島臨打 2,2,59.2,71.667,59.7,71.167
0104排島臨打 2,3,77.267,93.867,77.767,93.367
0104排島臨打 2,4,103.767,119.467,104.267,118.967
0104排島臨打 2,5,128.5,148.333,129.0,147.833
0104排島臨打 2,6,157.6,169.567,158.1,169.067
0104排島臨打 2,7,176.633,197.367,177.133,196.867
0104排島臨打 2,8,205.467,257.267,205.967,256.767
0104排島臨打 2,9,264.667,268.9,265.167,268.4
0104排島臨打 2,10,277.0,292.167,277.5,291.667
0104排島臨打 2,11,299.7,307.833,300.2,307.333
0104排島臨打 2,12,313.0,318.067,313.5,317.567
0104排島臨打 2,13,321.4,336.5,321.9,336.0
0104排島臨打 2,14,340.267,344.567,340.767,344.067
0104排島臨打 2,15,352.267,361.067,352.767,360.567
0104排島臨打 2,16,373.367,397.233,373.867,396.733
0104排島臨打 2,17,403.4,428.7,403.9,428.2
0104排島臨打 2,18,435.467,439.833,435.967,439.333
0104排島臨打 2,19,443.9,455.3,444.4,454.8
0104排島臨打 2,20,461.133,492.733,461.633,492.233
0104排島臨打 2,21,497.233,510.167,497.733,509.667
0104排島臨打 2,22,518.467,529.9,518.967,529.4
0104排島臨打 2,23,533.867,546.533,534.367,546.033
0104排島臨打 2,24,553.167,572.133,553.667,571.633
0104排島臨打 2,25,579.467,588.067,579.967,587.567
0104排島臨打 2,26,593.033,601.633,593.533,601.133
0104排島臨打 2,27,610.7,626.6,611.2,626.1
0104排島臨打 2,28,635.933,643.8,636.433,643.3
0104排島臨打 2,29,652.0,683.567,652.5,683.067
0104排島臨打 2,30,694.6,716.567,695.1,716.067
0104排島臨打 2,31,724.267,732.067,724.767,731.567
0104排島臨打 2,32,737.867,742.033,738.367,741.533
0104排島臨打 2,33,749.7,754.6,750.2,754.1
0104排島臨打 2,34,762.633,784.467,763.133,783.967
0104排島臨打 2,35,792.767,805.233,793.267,804.733
0104排島臨打 2,36,819.033,824.6,819.533,824.1
0104排島臨打 2,37,833.7,862.633,834.2,862.133
