video,rally_id,start,end,kind,status,detail,id
0104排島臨打 1,35,832.133,843.4,缺少 score,調整後仍存在,span 內沒有 score,Q0001
0104排島臨打 1,37,874.833,878.867,缺少 score,調整後仍存在,span 內沒有 score,Q0002
0104排島臨打 1,39,916.033,920.3,缺少 score,調整後仍存在,span 內沒有 score,Q0003
0104排島臨打 2,35,793.267,804.733,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@794.267s, receive@795.633s, set@797.033s, spike@798.567s, receive@799.267s, set@801.000s, spike@802.600s, block@802.833s, score@803.733s, set@805.033s",Q0004
0104排島臨打 2,35,793.267,804.733,調整後移出 span 的動作,需複查；action 標註保留,set@805.033s,Q0005
0104排島臨打 3,2,70.5,109.9,多個 serve,調整後仍存在,"2 個：71.500s, 81.433s",Q0006
0323小窩臨打 3,19,387.533,397.167,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@388.533s, receive@389.500s, spike@391.167s, receive@392.400s, set@393.900s, spike@395.333s, score@396.167s, receive@397.567s；既有人工紀錄：落地後（本次未重看影片）",Q0007
0323小窩臨打 3,19,387.533,397.167,調整後移出 span 的動作,需複查；action 標註保留,receive@397.567s,Q0008
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set1,47,1513.333,1516.133,end 超出影片,調整後未出現；原始問題保留供複查,end=1516.633s；metadata duration=1516.301s,Q0009
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set2,1,0.017,5.967,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.483s,Q0010
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set2,46,1774.233,1781.117,end 超出影片,調整後未出現；原始問題保留供複查,end=1781.617s；metadata duration=1781.495s,Q0011
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set3,1,0.283,16.383,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.217s,Q0012
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set3,29,1134.817,1149.7,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1135.817s, receive@1136.783s, receive@1137.933s, receive@1139.667s, receive@1140.583s, set@1142.217s, spike@1142.633s, block@1142.683s, receive@1143.183s, receive@1145.300s, receive@1147.800s, score@1148.700s, receive@1150.067s；既有人工紀錄：標竿外（本次未重看影片）",Q0013
03⧸14(六) 14_00｜例行賽G103 #雲林美津濃 vs. #桃園臺灣產險｜企業21年甲級男女排球聯賽_set3,29,1134.817,1149.7,調整後移出 span 的動作,需複查；action 標註保留,receive@1150.067s,Q0014
03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,44,1465.133,1471.917,end 超出影片,調整後未出現；原始問題保留供複查,end=1472.433s；metadata duration=1472.430s,Q0015
03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set2,1,0.267,3.717,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.233s,Q0016
03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set2,20,719.55,727.317,score 不在最後,調整後仍存在,"事件序列：serve@720.550s, receive@721.200s, spike@723.417s, block@723.450s, receive@723.783s, set@724.800s, score@726.317s, receive@726.900s",Q0017
03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set2,27,937.5,942.25,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0018
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,1,0.0,3.417,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@0.000s, receive@0.783s, set@2.400s, score@2.417s, spike@3.650s；既有人工紀錄：觸網（本次未重看影片）",Q0019
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,1,0.0,3.417,調整後移出 span 的動作,需複查；action 標註保留,spike@3.650s,Q0020
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,1,0.0,3.417,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1720.441s,Q0021
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,31,1073.167,1082.933,score 不在最後,調整後仍存在,"事件序列：serve@1074.167s, receive@1075.267s, set@1076.617s, spike@1077.950s, receive@1078.367s, set@1080.433s, spike@1081.717s, score@1081.933s, receive@1082.400s；既有人工紀錄：觸網（本次未重看影片）",Q0022
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,31,1073.167,1082.933,調整後移出 span 的動作,需複查；action 標註保留,set@1083.833s,Q0023
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,36,1320.227,1324.383,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0024
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,45,1713.567,1720.441016,end 超出影片,調整後未出現；原始問題保留供複查,end=1721.267s；metadata duration=1720.441s,Q0025
03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,45,1713.567,1720.441016,影片頭尾不足 1 秒,已截在影片範圍,end 無法留滿 1 秒；duration=1720.441s,Q0026
03⧸15(日) 13_00｜例行賽G106 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set2,1,0.0,5.967,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.533s,Q0027
03⧸15(日) 13_00｜例行賽G106 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set2,1,0.0,5.967,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1987.807s,Q0028
03⧸15(日) 13_00｜例行賽G106 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,41,1488.102,1490.55,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0029
03⧸15(日) 13_00｜例行賽G106 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,47,1718.267,1729.997005,end 超出影片,調整後未出現；原始問題保留供複查,end=1730.700s；metadata duration=1729.997s,Q0030
03⧸15(日) 13_00｜例行賽G106 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,47,1718.267,1729.997005,影片頭尾不足 1 秒,已截在影片範圍,end 無法留滿 1 秒；duration=1729.997s,Q0031
