id,video,rallies,reason
U0001,0104排島臨打 4,37,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0002,0104排島臨打 5,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0003,0104排島臨打 6,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0004,0104排島臨打 7,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0005,0104排島臨打 8,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0006,0104排島臨打 9,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0007,0112小窩季打 12,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0008,0112小窩季打 2,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0009,0112小窩季打 3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0010,0112小窩季打 4,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0011,0112小窩季打 5,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0012,0112小窩季打 7,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0013,0112小窩季打 8,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0014,0112小窩季打 9,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0015,0225小窩臨打 5,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0016,0225小窩臨打 6,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0017,0225小窩臨打 7,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0018,0225小窩臨打,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0019,0316 小窩季打 12,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0020,0316小窩季打 10,31,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0021,0316小窩季打 1,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0022,0316小窩季打 2,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0023,0316小窩季打 4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0024,0316小窩季打 5,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0025,0316小窩季打 6,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
